ID , Name , CAS , Year , Status , Is_a_Metabolite , Has_a_Metabolite , Route , VD(hour) , Cl(liter/hour) , t1/2(hour) , PPB(percentage) , F(percentage) , Cmax , Cmax_unit , Tmax(hour) , Solubility
69, CAFFEINE , 58-08-2 ,1948,  ,  ,  , ORAL RECTAL INTRAVENOUS ,39,5.4,5,36,,41.2, MICROMOLAR ,1.25, SOLUBILITY SPARINGLY SOLUBLE IN WATER
70, ERGOTAMINE , 113-15-5 ,1948,  ,  ,  , ORAL RECTAL INHALATION SUBLINGUAL ,120,44,2.25,98,62,3.3, MICROMOLAR ,0.5, 
71, METOCURINE , 5152-30-7 ,0, DISCONTINUED ,  ,  , INJECTION ,30.6,5.7,6,35,,,  ,, 
72, MECHLORETHAMINE , 51-75-2 ,1949,  ,  ,  , INJECTION TOPICAL ,,,,,,,  ,, SOLUBILITY VERY SOLUBLE IN WATER
73, METHOXAMINE , 390-28-3 ,0, DISCONTINUED ,  ,  , INJECTION ,,,6.15,,,74.3, NANOMOLAR ,5, 
74, TRIHEXYPHENIDYL , 144-11-6 ,1949,  ,  ,  , ORAL ,,,3.7,,,,  ,, 
75, PARAMETHADIONE , 115-67-3 ,1949, DISCONTINUED ,  ,  , ORAL ,,,,,,,  ,, 
76, AMINOSALICYLIC ACID , 65-49-6 ,1950,  ,  78  ,  , ORAL ,51.8,9.42,3.25,55,,130.7, MICROMOLAR ,6, 
77, CHLORPHENIRAMINE , 132-22-9 ,1949,  ,  ,  , ORAL INJECTION ,214.5,9.75,24,30,,26.2, NANOMOLAR ,3.5, 
78, PHENYL AMINOSALICYLATE , 133-11-9 ,0, DISCONTINUED ,  ,  76  , ORAL ,,,,,,,  ,, 
79, DEXCHLORPHENIRAMINE , 25523-97-1 ,1950,  ,  ,  , ORAL INJECTION ,214.5,9.75,24,30,,26.2, NANOMOLAR ,3.5, 
80, CROTAMITON , 483-63-6 ,1949,  ,  ,  , TOPICAL ,,,,,,,  ,, 
81, SULFASALAZINE , 599-79-1 ,1950,  ,  ,  1  1399  , ORAL ,7.5,1,7.6,99.3,15,15, MICROMOLAR ,6, 
82, CORTISONE ACETATE , 50-04-4 ,1950,  ,  ,  1771  , INJECTION ORAL ,,,,,,,  ,, SOLUBILITY INSOLUBLE IN WATER
83, PROCAINAMIDE , 51-06-9 ,1950,  ,  ,  , ORAL INJECTION ,130,39,3.1,17.5,,,  ,, 
84, ASPIRIN , 50-78-2 ,1950,  ,  ,  1770  , ORAL ,10,27.7,0.25,32,,1.77, MICROMOLAR ,, SOLUBILITY SLIGHTLY SOLUBLE IN WATER
85, OXYCODONE , 76-42-6 ,1950,  ,  ,  , ORAL ,169,48,4.5,45,73.5,312.7, NANOMOLAR ,2.1, SOLUBILITY IN WATER 1 GRAM / 6 MILLILITER
86, SECOBARBITAL , 76-73-3 ,1950,  ,  ,  , INJECTION ORAL RECTAL ,97.5,,28,50,90,,  ,3, SOLUBILITY VERY SOLUBLE IN WATER
87, DICYCLOMINE , 77-19-0 ,1950,  ,  ,  , ORAL INJECTION ,237,91.2,1.8,,,,  ,1.25, SOLUBILITY SOLUBLE IN WATER
88, METHIMAZOLE , 60-56-0 ,1950,  ,  ,  , ORAL ,136,4.6,5.4,,,1.3, MICROMOLAR ,0.9, SOLUBILITY FREELY SOLUBLE IN WATER
89, QUINIDINE , 56-54-2 ,1950,  ,  ,  , INJECTION ORAL ,162.5,15.6,7,84,70,,  ,2, SOLUBILITY SPARINGLY SOLUBLE IN WATER
90, THIAMYLAL , 77-27-0 ,0, DISCONTINUED ,  ,  , INJECTION ,237,17.5,9.3,17.5,,,  ,, 
91, THIAMYLAL , 77-27-0 ,0, DISCONTINUED ,  ,  , INJECTION ,169,9.7,12,11.7,,,  ,, 
92, PHENACEMIDE , 63-98-9 ,1951, DISCONTINUED ,  ,  , ORAL ,,,,,,,  ,, 
93, DYPHYLLINE , 479-18-5 ,1951, DISCONTINUED ,  ,  , ORAL INJECTION ,27.3,18.7,2,,,67, MICROMOLAR ,, SOLUBILITY FREELY SOLUBLE IN WATER
94, GALLAMINE , 153-76-4 ,0, DISCONTINUED ,  ,  , INJECTION ,,,,,,,  ,, 
95, DISULFIRAM , 97-77-8 ,1951,  ,  ,  , ORAL ,,,,,,,  ,, SOLUBILITY SOLUBLE IN WATER
96, PROBENECID , 57-66-9 ,1951,  ,  ,  , ORAL ,8.4,0.97,5.9,97,,,  ,, SOLUBILITY PRACTICALLY INSOLUBLE IN WATER
97, PROMETHAZINE , 60-87-7 ,1951,  ,  ,  , ORAL INJECTION RECTAL ,910,54,14,91,,,  ,, SOLUBILITY FREELY SOLUBLE IN WATER
98, PHENYLEPHRINE , 59-42-7 ,1952,  ,  ,  , OPHTHALMIC ORAL INHALATION INTRAVENOUS IRRIGATION ,340,2,1.35,,,5.2, MILLIMOLAR ,0.76, 
99, HEXYLCAINE , 532-77-4 ,0, DISCONTINUED ,  ,  , TOPICAL ,,,,,,,  ,, 
100, PYRILAMINE , 91-84-9 ,1973, DISCONTINUED ,  ,  , OPHTHALMIC ORAL ,,,,,,,  ,, 
101, EDROPHONIUM , 312-48-1 ,1951, DISCONTINUED ,  ,  , INJECTION ,71.5,37.4,1.8,,,,  ,, 
102, BROMODIPHENHYDRAMINE , 1808-12-4 ,1954, DISCONTINUED ,  ,  , ORAL ,,,,,,,  ,, 
103, METHOTREXATE , 59-05-2 ,1953,  ,  ,  , ORAL INJECTION SUBCUTANEOUS ,39,8.2,7.5,50,60,2.3, MICROMOLAR ,1.5, 
104, CHLOROTRIANISENE , 569-57-3 ,0, DISCONTINUED ,  ,  , ORAL ,,,,,,,  ,, 
105, LEUCOVORIN , 58-05-9 ,1952,  ,  ,  33  , INJECTION ORAL INTRAVENOUS ,16.2,22.6,1.3,91,,,  ,, SOLUBILITY SOLUBLE IN WATER
106, DIPHEMANIL , 15394-62-4 ,1976, DISCONTINUED ,  ,  , ORAL ,,,8.35,,,,  ,3, 
107, MONOBENZONE , 103-16-2 ,1952, DISCONTINUED ,  ,  , TOPICAL ,,,,,,,  ,, 
108, HYDROCORTISONE , 50-23-7 ,1952,  ,  109  110  111  191  1327  1328  ,  , ORAL TOPICAL VAGINAL INJECTION OTIC RECTAL OPHTHALMIC ,24.7,22.2,1.6,80,,,  ,, 
109, HYDROCORTISONE ACETATE , 50-03-3 ,1951,  ,  ,  108  , TOPICAL INJECTION OPHTHALMIC OTIC RECTAL ,,,,,,,  ,, 
110, HYDROCORTISONE VALERATE , 57524-89-7 ,1978,  ,  ,  108  , TOPICAL ,,,,,,,  ,, SOLUBILITY INSOLUBLE IN WATER
111, HYDROCORTISONE BUTYRATE , 13609-67-1 ,1982,  ,  ,  108  , TOPICAL ,,,,,,,  ,, SOLUBILITY PRACTICALLY INSOLUBLE IN WATER
112, MEPHENTERMINE , 100-92-5 ,1951, DISCONTINUED ,  ,  , INJECTION ,,,,,,,  ,, 
113, HYDRALAZINE , 86-54-4 ,1953,  ,  ,  , ORAL INJECTION ,143,331.5,1,88,18,583, NANOMOLAR ,2.5, SOLUBILITY SOLUBLE IN WATER
114, CODEINE , 76-57-3 ,1952,  ,  ,  , ORAL ,292.5,58.5,2.9,16,,662.2, NANOMOLAR ,1, SOLUBILITY SOLUBLE IN WATER
115, PHENYLBUTAZONE , 50-33-9 ,1977, DISCONTINUED ,  ,  , ORAL ,10,1.36,79,98.5,,138, MICROMOLAR ,3, 
116, METHARBITAL , 50-11-3 ,0, DISCONTINUED ,  ,  , ORAL ,,,,,,,  ,, 
117, ISONIAZID , 54-85-3 ,1952,  ,  ,  , ORAL INJECTION ,53.3,24.02,2.8,0,100,22.5, MICROMOLAR ,1.5, SOLUBILITY FREELY SOLUBLE IN WATER
118, SUCCINYLCHOLINE , 306-40-1 ,1952,  ,  ,  , INJECTION ,0.14,250.2,0.07,,,,  ,, SOLUBILITY VERY SOLUBLE IN WATER
119, HEXYLCAINE , 532-77-4 ,0, DISCONTINUED ,  ,  , TOPICAL ,,,,,,,  ,, 
120, SULFAMETHIZOLE , 144-82-1 ,1953, DISCONTINUED ,  ,  , ORAL ,,,,,,,  ,, SOLUBILITY SOLUBLE IN WATER
121, PYRIMETHAMINE , 58-14-0 ,1953,  ,  ,  , ORAL ,149.5,0.2,100,90,,805, NANOMOLAR ,4, 
122, PROCAINE , 59-46-1 ,1954, DISCONTINUED ,  ,  , INJECTION ,51.3,312,0.128,,,,  ,, 
123, PHENOXYBENZAMINE , 59-96-1 ,1953,  ,  ,  , ORAL ,,,24,,25,,  ,, SOLUBILITY SOLUBLE IN WATER
124, LEVONORDEFRIN , 829-74-3 ,1960,  ,  ,  , INJECTION ,,,,,,,  ,, 
125, NITROFURANTOIN , 67-20-9 ,1953,  ,  ,  , ORAL INJECTION ,37,37.8,0.97,83,,3.67, MICROMOLAR ,2.15, 
126, PHENOXYBENZAMINE , 59-96-1 ,1953,  ,  ,  , ORAL ,,,24,,25,,  ,, SOLUBILITY SOLUBLE IN WATER
127, LEVORPHANOL , 77-07-6 ,1953,  ,  ,  , INJECTION ORAL ,747.5,61.1,13.5,40,,,  ,1, SOLUBILITY SOLUBLE IN WATER
128, PROPANTHELINE , 298-50-0 ,1953,  ,  ,  , ORAL INJECTION ,,79.2,1.6,,,3.5, MICROMOLAR ,1, SOLUBILITY VERY SOLUBLE IN WATER
129, PHENYTOIN , 57-41-0 ,1953,  ,  734  ,  , ORAL INJECTION ,,,22,88,,,  ,1.5, 
130, CARBINOXAMINE , 486-16-8 ,1974,  ,  ,  , ORAL ,,,17,,,98.8, NANOMOLAR ,6.7, SOLUBILITY FREELY SOLUBLE IN WATER
131, PHENINDIONE , 83-12-5 ,0, DISCONTINUED ,  ,  , ORAL ,,,,,,,  ,, 
132, METHSCOPOLAMINE , 13265-10-6 ,1953,  ,  ,  , ORAL ,,,,,17,,  ,1, SOLUBILITY FREELY SOLUBLE IN WATER
133, PHENSUXIMIDE , 86-34-0 ,1953, DISCONTINUED ,  ,  , ORAL ,,,7.8,,,,  ,, 
134, PROPARACAINE , 499-67-2 ,1953,  ,  ,  , OPHTHALMIC ,,,,,,,  ,, 
135, CARBINOXAMINE , 486-16-8 ,1974,  ,  ,  , ORAL ,,,,,,,  ,, 
136, ACETAZOLAMIDE , 59-66-5 ,1953,  ,  ,  , ORAL INJECTION ,13,1.1,3.5,93,100,,  ,4.5, SOLUBILITY VERY SLIGHTLY SOLUBLE IN WATER
137, CYCRIMINE , 77-39-4 ,1953, DISCONTINUED ,  ,  , ORAL ,,,,,,,  ,, 
138, METHOXSALEN , 298-81-7 ,1954,  ,  ,  , ORAL TOPICAL INJECTION ,325,345,2,,,1.15, MICROMOLAR ,1.8, 
139, MERCAPTOPURINE , 50-44-2 ,1953,  ,  372  ,  , ORAL ,65,58.5,1,15,,,  ,, 
140, ETHOPROPAZINE , 522-00-9 ,0, DISCONTINUED ,  ,  , ORAL ,,,,,,,  ,, 
141, RESERPINE , 50-55-5 ,1954, DISCONTINUED ,  ,  , ORAL INJECTION ,,,200,95,50,1.8, NANOMOLAR ,2.5, SOLUBILITY INSOLUBLE IN WATER
142, CHLORPROMAZINE , 50-53-3 ,1957,  ,  ,  , ORAL INJECTION RECTAL ,1215,76.6,11.05,94.4,21,,  ,, 
143, TESTOSTERONE , 58-22-0 ,1972,  ,  144  1334  1335  1718  1825  ,  , TRANSDERMAL BUCCAL IMPLANTATION INJECTION NASAL ,65,62.4,192,98,,31.4, NANOMOLAR ,8, 
144, TESTOSTERONE PROPIONATE , 57-85-2 ,1973, DISCONTINUED ,  ,  143  , INJECTION ,,,,,,,  ,, 
145, HYDROXYSTILBAMIDINE , 495-99-8 ,1953, DISCONTINUED ,  ,  , INJECTION ,,,,,,,  ,, 
146, PRIMIDONE , 125-33-7 ,1954,  ,  ,  , ORAL ,,,,,70,,  ,4, SOLUBILITY POORLY SOLUBLE IN WATER
147, WARFARIN , 81-81-2 ,1954,  ,  ,  , ORAL INJECTION ,8.4,0.21,29,98,,,  ,, SOLUBILITY SOLUBLE IN WATER
148, PROGESTERONE , 57-83-0 ,1976,  ,  ,  , INJECTION INTRAUTERINE ORAL VAGINAL ,5252,104.6,34.8,97,,193, NANOMOLAR ,1.7, SOLUBILITY PRACTICALLY INSOLUBLE IN WATER
149, OXTRIPHYLLINE , 46155-92-4 ,1981, DISCONTINUED ,  ,  , ORAL ,,,,,90,,  ,, 
150, DESLANOSIDE , 17598-65-1 ,0, DISCONTINUED ,  ,  , INJECTION ,,,51,,,,  ,, 
151, TRIDIHEXETHYL , 4310-35-4 ,1954, DISCONTINUED ,  ,  , ORAL INJECTION ,,,,,,,  ,, 
152, DIGOXIN , 20830-75-5 ,1954,  ,  ,  , INJECTION ORAL ,266,6.6,42,25,70,,  ,2, SOLUBILITY PRACTICALLY INSOLUBLE IN WATER
153, BETAZOLE , 105-20-4 ,0, DISCONTINUED ,  ,  , INJECTION ,,,,,,,  ,, 
154, PENTOLINIUM , 144-44-5 ,0, DISCONTINUED ,  ,  , INJECTION ,,,,,,,  ,, 
155, BUSULFAN , 55-98-1 ,1954,  ,  ,  , ORAL INJECTION ,41.6,9.8,3.4,32.4,,4.9, MICROMOLAR ,, SOLUBILITY 0.1 GRAM / LITER
156, TALBUTAL , 115-44-6 ,0, DISCONTINUED ,  ,  , ORAL ,,,,,,,  ,, 
157, CHLOROPROCAINE , 133-16-4 ,1955,  ,  ,  , INJECTION INTRATHECAL ,,,,,,,  ,0.15, 
158, ACETYLDIGITOXIN , 1111-39-3 ,1975, DISCONTINUED ,  ,  , ORAL ,,,,,,,  ,, 
159, TRIDIHEXETHYL , 4310-35-4 ,1954, DISCONTINUED ,  ,  , ORAL INJECTION ,,,,,,,  ,, 
160, METARAMINOL , 54-49-9 ,1954, DISCONTINUED ,  ,  , INJECTION ,,,,,,,  ,, SOLUBILITY FREELY SOLUBLE IN WATER
161, GLUTETHIMIDE , 77-21-4 ,1957, DISCONTINUED ,  ,  , ORAL ,,,,,,,  ,, 
162, HYDROXYCHLOROQUINE , 118-42-3 ,1955,  ,  ,  , ORAL ,2851,12,172.3,43,,1.2, MICROMOLAR ,2.4, SOLUBILITY SOLUBLE IN WATER
163, METHYPRYLON , 125-64-4 ,1955, DISCONTINUED ,  ,  , ORAL ,63,0.77,9.2,,,,  ,, 
164, MEPROBAMATE , 57-53-4 ,1955,  ,  254  255  ,  , ORAL ,45.5,2.34,9.6,0,,11.4, MICROMOLAR ,4.5, 
165, ETHINAMATE , 126-52-3 ,1955, DISCONTINUED ,  ,  , ORAL ,,,,,,,  ,, 
166, PREDNISONE , 53-03-2 ,1955,  ,  ,  , ORAL ,37,11,2.6,73,,801, NANOMOLAR ,2.2, SOLUBILITY VERY SLIGHTLY SOLUBLE IN WATER
167, HYDROXYCHLOROQUINE , 118-42-3 ,1955,  ,  ,  , ORAL ,2851,12,172.3,43,,1.2, MICROMOLAR ,2.4, SOLUBILITY SOLUBLE IN WATER
168, PROCYCLIDINE , 77-37-2 ,1955, DISCONTINUED ,  ,  , ORAL ,48,3.3,12,,,,  ,, SOLUBILITY SOLUBLE IN WATER
169, PYRIDOSTIGMINE , 155-97-5 ,1955,  ,  ,  , ORAL INJECTION ,19,49.8,3,0,15,,  ,2.2, 
170, DYCLONINE , 586-60-7 ,2018,  ,  ,  , TOPICAL ,,,,,,,  ,, 
171, PREDNISOLONE , 50-24-8 ,1955,  ,  172  1337  ,  , ORAL TOPICAL OPHTHALMIC OTIC INJECTION ,29.9,11.3,2.5,80,,1.28, MICROMOLAR ,1.5, SOLUBILITY VERY SLIGHTLY SOLUBLE IN WATER
172, PREDNISOLONE ACETATE , 52-21-1 ,1955,  ,  ,  171  , OPHTHALMIC INJECTION ORAL ,,,,,,,  ,, SOLUBILITY INSOLUBLE IN WATER
173, RIBOFLAVIN , 83-88-5 ,1953,  ,  1324  ,  , INJECTION INTRAVENOUS ,39.6,29.3,0.93,35.5,,1.2, MICROMOLAR ,2, 
174, ETHCHLORVYNOL , 113-18-8 ,1961, DISCONTINUED ,  ,  , ORAL ,,,,,,,  ,, SOLUBILITY VERY SLIGHTLY SOLUBLE IN WATER
175, FLUDROCORTISONE ACETATE , 514-36-3 ,1955,  ,  ,  , ORAL ,,,,,,,  ,, 
176, M MIDODRINE , 3600-87-1 ,0,  ,  636  1187  ,  ,  ,,,3.5,0,93,,  ,1.5, SOLUBILITY SOLUBLE IN WATER
177, HYDROXYAMPHETAMINE , 103-86-6 ,1969,  ,  1106  1332  ,  , OPHTHALMIC ,,,,,,,  ,, 
178, PHYTONADIONE , 84-80-0 ,1955,  ,  ,  , ORAL INJECTION INTRAVENOUS ,,,,,,,  ,, SOLUBILITY INSOLUBLE IN WATER
179, AMBENONIUM , 7648-98-8 ,1956, DISCONTINUED ,  ,  , ORAL ,16.6,,,,,1.51, MICROMOLAR ,, SOLUBILITY SOLUBLE IN WATER TO 20 PERCENT
180, METHYLPHENIDATE , 1037510-61-4 ,1955,  ,  ,  , ORAL TRANSDERMAL ,169,33,3.2,15,23.5,73, NANOMOLAR ,6.8, SOLUBILITY FREELY SOLUBLE IN WATER
181, MECAMYLAMINE , 60-40-2 ,1956,  ,  ,  , ORAL ,,,,,,,  ,, SOLUBILITY SOLUBLE IN WATER
