"cid","pubchem_name","pid","cid_other","wwm","ppm","chembl","wwm_name","ppm_name","chembl_name","chembl_id"
67311433,"avarofloxacin hcl",11546234,NA,0,0,1,NA,NA,"acorafloxacin hydrochloride","CHEMBL2364603"
5282338,"acotiamide",5282338,NA,0,0,1,NA,NA,"acotiamide","CHEMBL2107723"
9957090,"acotiamide hydrochloride",5282338,NA,0,0,1,NA,NA,"acotiamide hydrochloride","CHEMBL2107308"
68938,"acoxatrine",68938,NA,0,0,1,NA,NA,"acoxatrine","CHEMBL1974113"
129991,"acreozast",129991,NA,0,0,1,NA,NA,"acreozast","CHEMBL2106626"
297931,"acridorex",297931,NA,0,0,1,NA,NA,"acridorex","CHEMBL2105932"
443101,"acriflavine",443101,NA,0,0,1,NA,NA,"acriflavine","CHEMBL354349"
6917708,"acrihellin",6917708,NA,0,0,1,NA,NA,"acrihellin","CHEMBL2106642"
24144,"acrisorcin",24144,NA,0,0,1,NA,NA,"acrisorcin","CHEMBL1201038"
11743529,"acrocinonide",11743529,NA,0,0,1,NA,NA,"acrocinonide","CHEMBL2105519"
345512,"acronine",345512,NA,0,0,1,NA,NA,"acronine","CHEMBL285852"
133562609,"actagardin",133562609,NA,0,0,1,NA,NA,"actagardin","CHEMBL2108884"
16132360,"actaplanin",16132360,NA,0,0,1,NA,NA,"actaplanin","CHEMBL2108212"
2018,"actarit",2018,NA,0,0,1,NA,NA,"actarit","CHEMBL1885632"
23674,"actinoquinol",23674,NA,0,0,1,NA,NA,"actinoquinol","CHEMBL1356732"
23675748,"actinoquinol sodium",23674,NA,0,0,1,NA,NA,"actinoquinol sodium","CHEMBL2107582"
6917898,"actisomide",6917898,NA,0,0,1,NA,NA,"actisomide","CHEMBL286259"
5462310,"05105_fluka",5462310,NA,0,1,0,NA,"activated charcoal",NA,NA
11954272,"actodigin",11954272,NA,0,0,1,NA,NA,"actodigin","CHEMBL2103957"
11338127,"acumapimod",11338127,NA,0,0,1,NA,NA,"acumapimod","CHEMBL3545226"
23665721,"aciclovir sodium",135398513,NA,0,0,1,NA,NA,"acyclovir sodium","CHEMBL1200380"
64517,"adafenoxate",64517,NA,0,0,1,NA,NA,"adafenoxate","CHEMBL2104053"
64387,"adamexine",64387,NA,0,0,1,NA,NA,"adamexine","CHEMBL2105546"
60164,"adapalene",60164,NA,0,1,1,NA,"adapalene","adapalene","CHEMBL1265"
60732,"adaprolol",60732,NA,0,0,1,NA,NA,"adaprolol","CHEMBL435170"
6435805,"adaprolol maleate",60732,"60731,18790029",0,0,1,NA,NA,"adaprolol maleate","CHEMBL2105952"
130918,"adatanserin",130918,NA,0,0,1,NA,NA,"adatanserin","CHEMBL2111138"
183784,"adatanserin hydrochloride",130918,NA,0,0,1,NA,NA,"adatanserin hydrochloride","CHEMBL2107510"
60172,"adefovir",60172,NA,0,0,1,NA,NA,"adefovir","CHEMBL484"
121488164,"adegrapepimut-s",121488164,NA,0,0,1,NA,NA,"adegrapepimut-s","CHEMBL3989952"
131634754,"adekalant",131634754,NA,0,0,1,NA,NA,"adekalant","CHEMBL2108213"
176874,"adelmidrol",176874,NA,0,0,1,NA,NA,"adelmidrol","CHEMBL2105967"
34755,"ademetionine",34756,NA,0,1,1,NA,"ademetionine","ademetionine","CHEMBL1088977"
190,"adenine",190,NA,0,0,1,NA,NA,"adenine","CHEMBL226345"
60961,"adenosine",60961,NA,0,1,1,NA,"adenosine","adenosine","CHEMBL477"
6083,"adenosine 5'-monophosphate",6083,NA,0,0,1,NA,NA,"adenosine phosphate","CHEMBL752"
16070111,"aderbasib",16070111,NA,0,0,1,NA,NA,"aderbasib","CHEMBL2103790"
65867,"adibendan",65867,NA,0,0,1,NA,NA,"adibendan","CHEMBL25931"
71724,"penicillin n",71724,NA,0,0,1,NA,NA,"adicillin","CHEMBL2023705"
71227,"adimolol",71227,NA,0,0,1,NA,NA,"adimolol","CHEMBL1742448"
37632,"adinazolam",37632,NA,0,0,1,NA,NA,"adinazolam","CHEMBL328250"
42611,"adinazolam mesylate",37632,NA,0,0,1,NA,NA,"adinazolam mesylate","CHEMBL2106672"
2031,"adiphenine",2031,NA,0,1,1,NA,"adiphenine","adiphenine","CHEMBL353846"
5763,"adiphenine hydrochloride",2031,NA,0,0,1,NA,NA,"adiphenine hydrochloride","CHEMBL555654"
196,"adipic acid",196,NA,0,0,1,NA,NA,"adipic acid","CHEMBL1157"
11198924,"adipiplon",11198924,NA,0,0,1,NA,NA,"adipiplon","CHEMBL2103791"
176875,"aditeren",176875,NA,0,0,1,NA,NA,"aditeren","CHEMBL122351"
68755,"aditoprim",68755,NA,0,0,1,NA,NA,"aditoprim","CHEMBL293299"
91933867,"adomeglivant",91933867,NA,0,0,1,NA,NA,"adomeglivant","CHEMBL3707351"
65661,"adosopine",65661,NA,0,0,1,NA,NA,"adosopine","CHEMBL2103994"
6917987,"adozelesin",6917987,"357194",0,0,1,NA,NA,"adozelesin","CHEMBL35493"
3033226,"adrafinil",3033226,NA,0,0,1,NA,NA,"adrafinil","CHEMBL93077"
7436,"adrenalone",7436,NA,0,0,1,NA,NA,"adrenalone","CHEMBL2103996"
176876,"adrogolide",176876,NA,0,0,1,NA,NA,"adrogolide","CHEMBL2104655"
10297043,"497839-62-0",10297043,NA,0,0,1,NA,NA,"aee-788","CHEMBL587723"
11476171,"nvp-aew541",11476171,NA,0,0,1,NA,NA,"aew-541","CHEMBL551064"
42647276,"afacifenacin",42647276,NA,0,0,1,NA,NA,"afacifenacin","CHEMBL3545165"
2000,"n-acetyl-dl-phenylalanine",2000,NA,0,0,1,NA,NA,"afalanine","CHEMBL134570"
16197727,"afamelanotide",16197727,NA,0,1,1,NA,"afamelanotide","afamelanotide","CHEMBL2108301"
131839615,"melanotan-1",16154396,"133083079",0,1,0,NA,"afamelanotide acetate",NA,NA
10184653,"afatinib",10184653,NA,0,0,1,NA,NA,"afatinib","CHEMBL1173655"
447607,"afegostat",447607,NA,0,0,1,NA,NA,"afegostat","CHEMBL206468"
23581846,"afegostat tartrate",23581846,NA,0,0,1,NA,NA,"afegostat tartrate","CHEMBL2105671"
9941008,"afeletecan",9941008,NA,0,0,1,NA,NA,"afeletecan","CHEMBL2105857"
449459,"4-hydroxytamoxifen",449459,"63062,5352135",0,0,1,NA,NA,"afimoxifene","CHEMBL10041"
2040,"afloqualone",2040,NA,0,0,1,NA,NA,"afloqualone","CHEMBL2105918"
91668161,"afovirsen [inn]",91668161,NA,0,0,1,NA,NA,"afovirsen","CHEMBL2108275"
71587499,"afovirsen sodium",71587500,NA,0,0,1,NA,NA,"afovirsen sodium","CHEMBL2108152"
25154249,"afoxolaner",25154249,NA,0,0,1,NA,NA,"afoxolaner","CHEMBL2219412"
53246563,"aftobetin",53246563,NA,0,0,1,NA,NA,"aftobetin","CHEMBL2364601"
71463596,"aftobetin hydrochloride",53246563,NA,0,0,1,NA,NA,"aftobetin hydrochloride","CHEMBL2364602"
46843057,"afuresertib",46843057,NA,0,0,1,NA,NA,"afuresertib","CHEMBL2219422"
46843056,"afuresertib hydrochloride",46843057,NA,0,0,1,NA,NA,"afuresertib hydrochloride","CHEMBL2219423"
176877,"afurolol",176877,NA,0,0,1,NA,NA,"afurolol","CHEMBL1742435"
9934283,"319460-94-1",9934283,NA,0,0,1,NA,NA,"ag-13958","CHEMBL3545335"
135413565,"ag-024322",135413565,NA,0,0,1,NA,NA,"ag-24322","CHEMBL3545420"
24759922,"aganepag",24759922,NA,0,0,1,NA,NA,"aganepag","CHEMBL2103861"
44469606,"aganepag ethanediol",44469606,NA,0,0,1,NA,NA,"aganepag ethanediol","CHEMBL2105713"
46928007,"aganepag isopropyl",46928007,NA,0,0,1,NA,NA,"aganepag isopropyl","CHEMBL2105714"
176878,"aganodine",176878,NA,0,0,1,NA,NA,"aganodine","CHEMBL2105912"
71571511,"agar",71571511,NA,0,0,1,NA,NA,"agar","CHEMBL2108215"
70687254,"agatolimod sodium",70687253,NA,0,0,1,NA,NA,"agatolimod sodium","CHEMBL2103793"
14153279,"aglepristone",14153279,"6443220,71607269,67942127,72727599,133655674,137706462",0,0,1,NA,NA,"aglepristone","CHEMBL2103998"
82148,"agomelatine",82148,NA,0,1,1,NA,"agomelatine","agomelatine","CHEMBL10878"
6100671,"(+)-ajmaline",6100671,NA,0,1,1,NA,"ajmaline","ajmaline","CHEMBL2105617"
2075,"aklomide",2075,NA,0,0,1,NA,NA,"aklomide","CHEMBL1450565"
44177328,"akn-028",44177328,NA,0,0,1,NA,NA,"akn-028","CHEMBL3545281"
71992,"alacepril",71992,NA,0,0,1,NA,NA,"alacepril","CHEMBL2103775"
11161474,"aladorian",11161474,NA,0,0,1,NA,NA,"aladorian","CHEMBL2104951"
56640724,"aladorian sodium",11161474,NA,0,0,1,NA,NA,"aladorian sodium","CHEMBL2105757"
71957,"alafosfalin",71957,NA,0,0,1,NA,NA,"alafosfalin","CHEMBL3989665"
216305,"alagebrium",216305,NA,0,0,1,NA,NA,"alagebrium","CHEMBL2111081"
216306,"alagebrium chloride",216305,NA,0,0,1,NA,NA,"alagebrium chloride","CHEMBL2107309"
12757032,"alamecin",12757032,NA,0,0,1,NA,NA,"alamecin","CHEMBL2108216"
491022,"alamifovir",491022,NA,0,0,1,NA,NA,"alamifovir","CHEMBL106502"
5950,"l-alanine",5950,"602,71080",0,0,1,NA,NA,"alanine","CHEMBL12198"
135409347,"l-alanosine",135409347,"135413540,136096147",0,0,1,NA,NA,"alanosine","CHEMBL452715"
123935,"l-alanyl-l-glutamine",123935,NA,0,0,1,NA,NA,"alanyl glutamine","CHEMBL3707366"
2081,"alaproclate",2081,NA,0,0,1,NA,NA,"alaproclate","CHEMBL36591"
3086677,"alatrofloxacin",3086677,"5282517",0,0,1,NA,NA,"alatrofloxacin","CHEMBL1201197"
5282517,"alatrofloxacin mesylate",3086677,NA,0,0,1,NA,NA,"alatrofloxacin mesylate","CHEMBL1200498"
208952,"albaconazole",208952,NA,0,0,1,NA,NA,"albaconazole","CHEMBL298817"
83969,"albendazole oxide",83969,NA,0,0,1,NA,NA,"albendazole oxide","CHEMBL1665"
122173812,"albiglutide",122173812,NA,0,1,1,NA,"albiglutide","albiglutide","CHEMBL2107841"
454,"octanal",454,NA,0,0,1,NA,NA,"albumin tannate","CHEMBL2108174"
2083,"salbutamol",2083,NA,0,1,1,NA,"albuterol","albuterol","CHEMBL714"
3032361,"albutoin",3032361,NA,0,0,1,NA,NA,"albutoin","CHEMBL327235"
19371515,"alcaftadine",19371515,NA,0,1,1,NA,"alcaftadine","alcaftadine","CHEMBL1201747"
30951,"alclofenac",30951,NA,0,1,1,NA,"alclofenac","alclofenac","CHEMBL94081"
636374,"alclometasone dipropionate",636374,NA,0,1,1,NA,"alclometasone dipropionate","alclometasone dipropionate","CHEMBL1200989"
702,"ethanol",702,NA,0,1,1,NA,"alcohol","alcohol","CHEMBL545"
21158560,"diallylnortoxiferine",21158560,"5311001,6858010,101602193,5360723,21917745,44345559,44427888,67108123,73754991,90659973",0,1,1,NA,"alcuronium","alcuronium","CHEMBL1180293"
21158559,"alcuronium chloride",21158560,"6436034,44345558,139594593",0,0,1,NA,NA,"alcuronium chloride","CHEMBL120476"
5839,"aldosterone",5839,NA,0,0,1,NA,NA,"aldosterone","CHEMBL273453"
9810709,"inno-206",9810709,"84036,71300693,129636048",0,0,1,NA,NA,"aldoxorubicin","CHEMBL2107818"
129627538,"mc-doxhzn hydrochloride",25058411,NA,0,0,1,NA,NA,"aldoxorubicin hydrochloride","CHEMBL2107827"
49806720,"alectinib",49806720,NA,0,0,1,NA,NA,"alectinib","CHEMBL1738797"
10274777,"aleglitazar",10274777,NA,0,0,1,NA,NA,"aleglitazar","CHEMBL519504"
9918079,"alemcinal",9918079,NA,0,0,1,NA,NA,"alemcinal","CHEMBL300049"
2088,"alendronic acid",2088,NA,0,0,1,NA,NA,"alendronic acid","CHEMBL870"
60574,"alentemol",60574,NA,0,0,1,NA,NA,"alentemol","CHEMBL2104081"
60573,"alentemol hydrobromide",60574,NA,0,0,1,NA,NA,"alentemol hydrobromide","CHEMBL2448123"
10224267,"aleplasinin",10224267,NA,0,0,1,NA,NA,"aleplasinin","CHEMBL325424"
176880,"alepride",176880,NA,0,0,1,NA,NA,"alepride","CHEMBL2104087"
20055302,"alestramustine",20055302,NA,0,0,1,NA,NA,"alestramustine","CHEMBL2106670"
20254,"alfetamine",20254,NA,0,0,1,NA,NA,"aletamine","CHEMBL2110598"
20253,"aletamine hcl",20254,NA,0,0,1,NA,NA,"aletamine hydrochloride","CHEMBL2104055"
2090,"alexidine",2090,NA,0,0,1,NA,NA,"alexidine","CHEMBL1195210"
91663271,"alexitol sodium",91663271,NA,0,0,1,NA,NA,"alexitol sodium","CHEMBL3989405"
54682468,"chlortetracycline hydrochloride",54675777,NA,0,0,1,NA,NA,"alexomycin","CHEMBL2108218"
5282181,"alfacalcidol",5282181,"5284515,5283718,2091,443990,5283723,6434322,42609152,57369692,45073394,46780105,73707490,129010229,134688803,134694392,135391135,145705666,145705856",0,0,1,NA,NA,"alfacalcidol","CHEMBL1601669"
444913,"alpha-cyclodextrin",444913,NA,0,0,1,NA,NA,"alfadex","CHEMBL1230813"
9798416,"alphadolone",9798416,NA,0,1,1,NA,"alfadolone","alfadolone","CHEMBL2104019"
6436172,"alfaprostol",6436172,"6917795,73152410,102059952,139596528",0,1,1,NA,"alfaprostol","alfaprostol","CHEMBL2104662"
68570,"17alpha-estradiol",68570,NA,0,0,1,NA,NA,"alfatradiol","CHEMBL286452"
104845,"alphaxalone",104845,NA,0,0,1,NA,NA,"alfaxalone","CHEMBL190279"
104845,"alphaxalone",104845,NA,0,1,0,NA,"alfaxolone",NA,NA
51263,"alfentanil",51263,NA,0,0,1,NA,NA,"alfentanil","CHEMBL634"
64761,"alfentanil hydrochloride",51263,NA,0,1,1,NA,"alfentanil hydrochloride","alfentanil hydrochloride","CHEMBL1200531"
2092,"alfuzosin",2092,NA,0,0,1,NA,NA,"alfuzosin","CHEMBL709"
11740874,"algestone acetonide",11740874,NA,0,0,1,NA,NA,"algestone acetonide","CHEMBL2105960"
5284538,"algestone acetophenide",5284538,"102011,32327,45006151,3328265,129317898,134688977,145705933",0,0,1,NA,NA,"algestone acetophenide","CHEMBL2105993"
6850754,"kaltostat",6850754,NA,0,0,1,NA,NA,"alginic acid","CHEMBL2108894"
71916,"alibendol",71916,NA,0,0,1,NA,NA,"alibendol","CHEMBL2105999"
16197725,"alicaforsen",16197724,NA,0,0,1,NA,NA,"alicaforsen","CHEMBL2108326"
16197723,"unii-4twn6szb8w",16197724,NA,0,0,1,NA,NA,"alicaforsen sodium","CHEMBL2108895"
6436097,"aliconazole",6436097,NA,0,0,1,NA,NA,"aliconazole","CHEMBL2106687"
51719,"alifedrine",51719,NA,0,0,1,NA,NA,"alifedrine","CHEMBL2104023"
41967,"aliflurane",41967,NA,0,0,1,NA,NA,"aliflurane","CHEMBL2104018"
6914163,"alilusem",6914163,NA,0,0,1,NA,NA,"alilusem","CHEMBL2104373"
176882,"alimadol",176882,NA,0,0,1,NA,NA,"alimadol","CHEMBL2106661"
