cid,dose,dose_min,dose_max,dose_unit,dose_conf,dose_unit_type,duration,duration_unit,frequency,frequency_unit,rate,rate_unit,volume,volume_unit,lifestage
54858,0.5-4 g/day,0.5,0.5,g,high,mass,,,1,day,,,,,
59922,0.5 g/day,0.5,0.5,g,high,mass,,,1,day,,,,,
59923,0.5-10 g/day,0.5,0.5,g,high,mass,,,1,day,,,,,
59924,0.5-4.5 g/day,0.5,0.5,g,high,mass,,,1,day,,,,,
11370,"0.5 g/100 g diet/day, 60D",0.5,0.5,g,high,mass,,,1,day,,,,,
54841,0.5 gm/day,0.5,0.5,g,high,mass,,,1,day,,,,,
54842,0.5-1 gm/day,0.5,0.5,g,high,mass,,,1,day,,,,,
4404,0.6 g /day,0.6,0.6,g,high,mass,,,1,day,,,,,
59925,0.625 g/day,0.625,0.625,g,high,mass,,,1,day,,,,,
45140,0.75-3 g/day,0.75,0.75,g,high,mass,,,1,day,,,,,
46589,0.75-6 g/day,0.75,0.75,g,high,mass,,,1,day,,,,,
59926,0.75 g/day,0.75,0.75,g,high,mass,,,1,day,,,,,
15518,0.8 g/day/3M,0.8,0.8,g,high,mass,,,1,day,,,,,
54057,0.9-15 g/day,0.9,0.9,g,high,mass,,,1,day,,,,,
54058,0.9-30 g/day,0.9,0.9,g,high,mass,,,1,day,,,,,
58763,0.9-2.1 g/day,0.9,0.9,g,high,mass,,,1,day,,,,,
39549,1-1.5 g/day,1,1.5,g,high,mass,,,1,day,,,,,
8403,1 g/day,1,1,g,high,mass,,,1,day,,,,,
11780,1 g/day,1,1,g,high,mass,,,1,day,,,,,
12646,1 g/day,1,1,g,high,mass,,,1,day,,,,,
12647,1 g/day,1,1,g,high,mass,,,1,day,,,,,
13161,1 g/day,1,1,g,high,mass,,,1,day,,,,,
23966,1g/day,1,1,g,high,mass,,,1,day,,,,,
23967,1g/day,1,1,g,high,mass,,,1,day,,,,,
24045,1 g/day,1,1,g,high,mass,,,1,day,,,,,
47711,1 g/day,1,1,g,high,mass,,,1,day,,,,,
53118,>1 g/day,1,1,g,high,mass,,,1,day,,,,,
59927,1 g/day,1,1,g,high,mass,,,1,day,,,,,
11373,"1.0 g/100 g diet/day, 60D",1,1,g,high,mass,,,1,day,,,,,
11371,"1.0 g /100 g diet/day in diet, males, 13D",1,1,g,high,mass,,,1,day,,,,,
11372,"1.0 g /100 g diet/day in diet, males, 26D",1,1,g,high,mass,,,1,day,,,,,
30487,1 gm/day,1,1,g,high,mass,,,1,day,,,,,
45964,1 gm/day,1,1,g,high,mass,,,1,day,,,,,
45965,1 gm/day,1,1,g,high,mass,,,1,day,,,,,
45966,1 gm/day,1,1,g,high,mass,,,1,day,,,,,
39546,1 g/day,1,1,g,high,mass,,,1,day,,,,,
47712,1 g/day,1,1,g,high,mass,,,1,day,,,,,
47713,1 g/day,1,1,g,high,mass,,,1,day,,,,,
47714,1 g/day,1,1,g,high,mass,,,1,day,,,,,
59931,1.1 g/day,1.1,1.1,g,high,mass,,,1,day,,,,,
6866,1.2 g/day,1.2,1.2,g,high,mass,,,1,day,,,,,
39428,1.2-2.4 g/day,1.2,1.2,g,high,mass,,,1,day,,,,,
39429,1.2-3.6 g/day,1.2,1.2,g,high,mass,,,1,day,,,,,
39430,1.2-4.8 g/day,1.2,1.2,g,high,mass,,,1,day,,,,,
39431,"1.2-4.8 g/day, divided in 2 daily doses",1.2,1.2,g,high,mass,,,1,day,,,,,
54060,1.25-5 g/day,1.25,1.25,g,high,mass,,,1,day,,,,,
54657,1.25-12.5 g/day,1.25,1.25,g,high,mass,,,1,day,,,,,
59932,1.25 g/day,1.25,1.25,g,high,mass,,,1,day,,,,,
59933,1.25-3 g/day,1.25,1.25,g,high,mass,,,1,day,,,,,
57945,1.3-3.9 g/day,1.3,1.3,g,high,mass,,,1,day,,,,,
39358,1.4 g/day,1.4,1.4,g,high,mass,,,1,day,,,,,
39550,1.4 g/day,1.4,1.4,g,high,mass,,,1,day,,,,,
12149,1.5 g/day,1.5,1.5,g,high,mass,,,1,day,,,,,
21409,1.5-3 g/day,1.5,1.5,g,high,mass,,,1,day,,,,,
23955,1.5 g/day,1.5,1.5,g,high,mass,,,1,day,,,,,
39433,1.5-4.5 g/day,1.5,1.5,g,high,mass,,,1,day,,,,,
41498,1.5-6 g/day,1.5,1.5,g,high,mass,,,1,day,,,,,
46590,1.5-3 g/day,1.5,1.5,g,high,mass,,,1,day,,,,,
50502,1.5 - 3g/day,1.5,1.5,g,high,mass,,,1,day,,,,,
50503,1.5 - 3g/day,1.5,1.5,g,high,mass,,,1,day,,,,,
59934,1.5-5 g/day,1.5,1.5,g,high,mass,,,1,day,,,,,
11449,1.5 g/day/12D,1.5,1.5,g,high,mass,,,1,day,,,,,
12083,1.5 g/day/7D,1.5,1.5,g,high,mass,,,1,day,,,,,
58836,1.5 g/day/2D,1.5,1.5,g,high,mass,,,1,day,,,,,
11376,"1.5 g/100 g diet/day, 60D",1.5,1.5,g,high,mass,,,1,day,,,,,
11374,"1.5 g /100 g diet/day in diet, males, 13D",1.5,1.5,g,high,mass,,,1,day,,,,,
11375,"1.5 g /100 g diet/day in diet, males, 26D",1.5,1.5,g,high,mass,,,1,day,,,,,
13172,1.5 g/day,1.5,1.5,g,high,mass,,,1,day,,,,,
39434,1.6 g/day,1.6,1.6,g,high,mass,,,1,day,,,,,
39435,1.6-2.4 g/day,1.6,1.6,g,high,mass,,,1,day,,,,,
32094,1.8-2.7 g/day,1.8,1.8,g,high,mass,,,1,day,,,,,
16388,1.875 g/day,1.875,1.875,g,high,mass,,,1,day,,,,,
16389,1.875-3.75 g/day,1.875,1.875,g,high,mass,,,1,day,,,,,
57946,1.95 g/day,1.95,1.95,g,high,mass,,,1,day,,,,,
57947,1.95-3.9 g/day,1.95,1.95,g,high,mass,,,1,day,,,,,
12731,1-2 g/day,1,2,g,high,mass,,,1,day,,,,,
13118,1-2 g/day,1,2,g,high,mass,,,1,day,,,,,
13119,1-2g/day,1,2,g,high,mass,,,1,day,,,,,
42305,1-2 g/day,1,2,g,high,mass,,,1,day,,,,,
47613,1-2 g/day,1,2,g,high,mass,,,1,day,,,,,
47614,1-2 g/day,1,2,g,high,mass,,,1,day,,,,,
50449,1-2 g/day,1,2,g,high,mass,,,1,day,,,,,
4707,2 g/day,2,2,g,high,mass,,,1,day,,,,,
9951,2 g/day,2,2,g,high,mass,,,1,day,,,,,
12591,2 g/day,2,2,g,high,mass,,,1,day,,,,,
12665,2 g/day,2,2,g,high,mass,,,1,day,,,,,
12716,2 g/day,2,2,g,high,mass,,,1,day,,,,,
15488,2 g/day,2,2,g,high,mass,,,1,day,,,,,
20539,2 -5 g/day,2,2,g,high,mass,,,1,day,,,,,
42309,2 g/day,2,2,g,high,mass,,,1,day,,,,,
46895,2 g/day,2,2,g,high,mass,,,1,day,,,,,
47621,2 g/day,2,2,g,high,mass,,,1,day,,,,,
54605,2 g /day,2,2,g,high,mass,,,1,day,,,,,
57200,2g/day,2,2,g,high,mass,,,1,day,,,,,
59953,2 g/day,2,2,g,high,mass,,,1,day,,,,,
13391,2 g/day/10D,2,2,g,high,mass,,,1,day,,,,,
3407,2 g/day/12W,2,2,g,high,mass,,,1,day,,,,,
50047,2 g/day/2Y,2,2,g,high,mass,,,1,day,,,,,
54843,2 gm/day,2,2,g,high,mass,,,1,day,,,,,
12872,2 g/day,2,2,g,high,mass,,,1,day,,,,,
39040,2 g/day,2,2,g,high,mass,,,1,day,,,,,
7236,2.25 g/day,2.25,2.25,g,high,mass,,,1,day,,,,,
7237,2.25-6.75 g/day,2.25,2.25,g,high,mass,,,1,day,,,,,
7238,2.25-6.75g/day,2.25,2.25,g,high,mass,,,1,day,,,,,
16391,2.3 g/day,2.3,2.3,g,high,mass,,,1,day,,,,,
39450,2.4 g/day,2.4,2.4,g,high,mass,,,1,day,,,,,
39451,2.4-4.8 g/day,2.4,2.4,g,high,mass,,,1,day,,,,,
49603,2.4 -6 g/day,2.4,2.4,g,high,mass,,,1,day,,,,,
16393,2.5-3.75 g/day,2.5,2.5,g,high,mass,,,1,day,,,,,
54023,2.5-20 g/day,2.5,2.5,g,high,mass,,,1,day,,,,,
54782,2.5-5.0 g/day,2.5,2.5,g,high,mass,,,1,day,,,,,
59956,2.5 g/day,2.5,2.5,g,high,mass,,,1,day,,,,,
2308,"2.72 g/day, 2W pre-pregnancy and during pregnancy",2.72,2.72,g,high,mass,,,1,day,,,,,
53217,2.79-5.58 g/day,2.79,2.79,g,high,mass,,,1,day,,,,,
10747,2.9-3.8 g/day,2.9,2.9,g,high,mass,,,1,day,,,,,
12936,1-3 g/day,1,3,g,high,mass,,,1,day,,,,,
36616,1-3 g/day,1,3,g,high,mass,,,1,day,,,,,
36752,2-3 g/day,2,3,g,high,mass,,,1,day,,,,,
42310,2-3 g/day,2,3,g,high,mass,,,1,day,,,,,
42311,2-3 g/day,2,3,g,high,mass,,,1,day,,,,,
59955,2-3 g/day,2,3,g,high,mass,,,1,day,,,,,
54861,2-3 g/day/32 months,2,3,g,high,mass,,,1,day,,,,,
1926,3 g/day,3,3,g,high,mass,,,1,day,,,,,
7113,3 g/day,3,3,g,high,mass,,,1,day,,,,,
12719,3 g/day,3,3,g,high,mass,,,1,day,,,,,
13103,3 g/day,3,3,g,high,mass,,,1,day,,,,,
39458,3 g/day,3,3,g,high,mass,,,1,day,,,,,
42316,3 g/day,3,3,g,high,mass,,,1,day,,,,,
49413,3 g/day,3,3,g,high,mass,,,1,day,,,,,
59962,3 g/day,3,3,g,high,mass,,,1,day,,,,,
60154,3 g/day,3,3,g,high,mass,,,1,day,,,,,
29396,3 g/day/90D,3,3,g,high,mass,,,1,day,,,,,
50050,3 g/day/4D,3,3,g,high,mass,,,1,day,,,,,
1927,3 g/day/6M,3,3,g,high,mass,,,1,day,,,,,
43200,3 g/day/5M,3,3,g,high,mass,,,1,day,,,,,
57573,3 g/day/27M,3,3,g,high,mass,,,1,day,,,,,
33216,3 g/day/2Y,3,3,g,high,mass,,,1,day,,,,,
24697,3.48 g/day,3.48,3.48,g,high,mass,,,1,day,,,,,
15496,3.5-7 g/day,3.5,3.5,g,high,mass,,,1,day,,,,,
53219,3.5 g/day,3.5,3.5,g,high,mass,,,1,day,,,,,
16397,3.75 g/day,3.75,3.75,g,high,mass,,,1,day,,,,,
54089,3.75-30 g/day,3.75,3.75,g,high,mass,,,1,day,,,,,
54666,3.75-12.5 g/day,3.75,3.75,g,high,mass,,,1,day,,,,,
16398,3.8 g/day,3.8,3.8,g,high,mass,,,1,day,,,,,
16399,3.8-4.5 g/day,3.8,3.8,g,high,mass,,,1,day,,,,,
57966,3.9 g/day,3.9,3.9,g,high,mass,,,1,day,,,,,
12652,1-4 g/day,1,4,g,high,mass,,,1,day,,,,,
13384,1-4 g/day,1,4,g,high,mass,,,1,day,,,,,
54859,1-4 g/day,1,4,g,high,mass,,,1,day,,,,,
59929,1-4.5 g/day,1,4,g,high,mass,,,1,day,,,,,
12053,2-4 g/day,2,4,g,high,mass,,,1,day,,,,,
12667,2-4 g/day,2,4,g,high,mass,,,1,day,,,,,
12820,2-4 g/day,2,4,g,high,mass,,,1,day,,,,,
53991,3-4.5 g/day,3,4,g,high,mass,,,1,day,,,,,
796,> 4 g/day,4,4,g,high,mass,,,1,day,,,,,
12676,4 g/day,4,4,g,high,mass,,,1,day,,,,,
13388,4 g/day,4,4,g,high,mass,,,1,day,,,,,
39463,4 g/day,4,4,g,high,mass,,,1,day,,,,,
54398,4 g/day,4,4,g,high,mass,,,1,day,,,,,
45207,"4 g/day, divided into 1-2 doses",4,4,g,high,mass,,,1,day,,,,,
52922,4 g/day/1M,4,4,g,high,mass,,,1,day,,,,,
52923,4.0 g/day/4W,4,4,g,high,mass,,,1,day,,,,,
54883,4 gm/day,4,4,g,high,mass,,,1,day,,,,,
53208,4.4-12.5 g/day,4.4,4.4,g,high,mass,,,1,day,,,,,
13198,4.5 g/day,4.5,4.5,g,high,mass,,,1,day,,,,,
16401,4.5 g/day,4.5,4.5,g,high,mass,,,1,day,,,,,
54001,4.5-10.5 g/day,4.5,4.5,g,high,mass,,,1,day,,,,,
54002,4.5-6 g/day,4.5,4.5,g,high,mass,,,1,day,,,,,
54003,4.5-7.5 g/day,4.5,4.5,g,high,mass,,,1,day,,,,,
54004,4.5-9 g/day,4.5,4.5,g,high,mass,,,1,day,,,,,
39464,4.8 g/day,4.8,4.8,g,high,mass,,,1,day,,,,,
53209,4.8-6 g/day,4.8,4.8,g,high,mass,,,1,day,,,,,
20538,1-5 gm/day,1,5,g,high,mass,,,1,day,,,,,
54097,5 g/day,5,5,g,high,mass,,,1,day,,,,,
54005,5.3-10.5 g/day,5.3,5.3,g,high,mass,,,1,day,,,,,
54006,5.3-12 g/day,5.3,5.3,g,high,mass,,,1,day,,,,,
54007,5.3-6.6 g/day,5.3,5.3,g,high,mass,,,1,day,,,,,
59973,5.5 g/day,5.5,5.5,g,high,mass,,,1,day,,,,,
41497,1-6 g/day,1,6,g,high,mass,,,1,day,,,,,
59930,1-6 g/day,1,6,g,high,mass,,,1,day,,,,,
41499,2-6 g/day,2,6,g,high,mass,,,1,day,,,,,
7114,3-6 g/day,3,6,g,high,mass,,,1,day,,,,,
53992,3-6 g/day,3,6,g,high,mass,,,1,day,,,,,
48747,4-6 g/day,4,6,g,high,mass,,,1,day,,,,,
4100,6 g/day,6,6,g,high,mass,,,1,day,,,,,
7071,6 g/day,6,6,g,high,mass,,,1,day,,,,,
7124,6 g/day,6,6,g,high,mass,,,1,day,,,,,
7998,6.0 g/day,6,6,g,high,mass,,,1,day,,,,,
49420,6 g/day,6,6,g,high,mass,,,1,day,,,,,
15909,6 g/day/14D,6,6,g,high,mass,,,1,day,,,,,
49599,6.4-12 g/day,6.4,6.4,g,high,mass,,,1,day,,,,,
7245,6.75 g/day,6.75,6.75,g,high,mass,,,1,day,,,,,
45203,2-7 g/day,2,7,g,high,mass,,,1,day,,,,,
53993,3-7.5 g/day,3,7,g,high,mass,,,1,day,,,,,
54012,6-7.5 g/day,6,7,g,high,mass,,,1,day,,,,,
15514,7 g/day,7,7,g,high,mass,,,1,day,,,,,
54016,7.5 g/day,7.5,7.5,g,high,mass,,,1,day,,,,,
54017,7.5-9 g/day,7.5,7.5,g,high,mass,,,1,day,,,,,
26589,1-8 g/day,1,8,g,high,mass,,,1,day,,,,,
4098,4-8 g/day,4,8,g,high,mass,,,1,day,,,,,
14321,"4-8 g/1-6 times daily, up to 24 g/day",4,8,g,high,mass,,,1,day,,,,,
7074,8 g/day,8,8,g,high,mass,,,1,day,,,,,
7075,8 g/day,8,8,g,high,mass,,,1,day,,,,,
26615,8 g/day,8,8,g,high,mass,,,1,day,,,,,
47061,8.4 - 25.2 g/day,8.4,8.4,g,high,mass,,,1,day,,,,,
47063,8.4-25.2 g/day,8.4,8.4,g,high,mass,,,1,day,,,,,
47064,8.4-33.6 g/day,8.4,8.4,g,high,mass,,,1,day,,,,,
47065,8.4-50.4 g/day,8.4,8.4,g,high,mass,,,1,day,,,,,
26826,1-9.6 g/day,1,9,g,high,mass,,,1,day,,,,,
53994,3-9 g/day,3,9,g,high,mass,,,1,day,,,,,
16409,6-9 g/day,6,9,g,high,mass,,,1,day,,,,,
54013,6-9g/day,6,9,g,high,mass,,,1,day,,,,,
12684,9 g/day,9,9,g,high,mass,,,1,day,,,,,
54018,9 g/day,9,9,g,high,mass,,,1,day,,,,,
26832,9.6 g/day,9.6,9.6,g,high,mass,,,1,day,,,,,
50507,3-10 g/day,3,10,g,high,mass,,,1,day,,,,,
54099,5-10 g/day,5,10,g,high,mass,,,1,day,,,,,
4086,10 g/day,10,10,g,high,mass,,,1,day,,,,,
26588,1-12 g/day in divided doses,1,12,g,high,mass,,,1,day,,,,,
26602,3-12 g/day,3,12,g,high,mass,,,1,day,,,,,
26603,3-12 g/day in divided doses,3,12,g,high,mass,,,1,day,,,,,
43011,4-12 g/day,4,12,g,high,mass,,,1,day,,,,,
12894,6-12 g/day,6,12,g,high,mass,,,1,day,,,,,
12895,6-12 g/day,6,12,g,high,mass,,,1,day,,,,,
54011,6-12 g/day,6,12,g,high,mass,,,1,day,,,,,
4091,12 g/day,12,12,g,high,mass,,,1,day,,,,,
7053,12 g/day,12,12,g,high,mass,,,1,day,,,,,
39874,12 g/day/8-21D,12,12,g,high,mass,,,1,day,,,,,
49598,12 gm/day,12,12,g,high,mass,,,1,day,,,,,
30123,13.2-19.8 g/day,13.2,13.2,g,high,mass,,,1,day,,,,,
17380,1-15 g/day,1,15,g,high,mass,,,1,day,,,,,
16406,3-15 g/day,3,15,g,high,mass,,,1,day,,,,,
54100,5-15 g/day,5,15,g,high,mass,,,1,day,,,,,
16408,6-15 g/day,6,15,g,high,mass,,,1,day,,,,,
11363,10-15 g/day,10,15,g,high,mass,,,1,day,,,,,
11349,10-15 gm/day,10,15,g,high,mass,,,1,day,,,,,
46770,12-15 g/day,12,15,g,high,mass,,,1,day,,,,,
4092,15 g/day,15,15,g,high,mass,,,1,day,,,,,
7055,15 g/day,15,15,g,high,mass,,,1,day,,,,,
47047,"15 g/day, administered in 3 equally divided doses",15,15,g,high,mass,,,1,day,,,,,
35975,Up to 15 g/day,15,15,g,low,mass,,,1,day,,,,,
7058,16 g/day,16,16,g,high,mass,,,1,day,,,,,
20008,16 g/day,16,16,g,high,mass,,,1,day,,,,,
20009,16 g/day,16,16,g,high,mass,,,1,day,,,,,
20010,"16 g/day, 1% gel",16,16,g,high,mass,,,1,day,,,,,
47049,16.8-50.4 g/day,16.8,16.8,g,high,mass,,,1,day,,,,,
49424,6-17 g/day,6,17,g,high,mass,,,1,day,,,,,
49407,17 g/day,17,17,g,high,mass,,,1,day,,,,,
49408,17 g/day,17,17,g,high,mass,,,1,day,,,,,
49410,17g/day,17,17,g,high,mass,,,1,day,,,,,
7993,17.5 g/day,17.5,17.5,g,high,mass,,,1,day,,,,,
40724,16-18 g/day,16,18,g,high,mass,,,1,day,,,,,
40725,16-18 g/day,16,18,g,high,mass,,,1,day,,,,,
7060,18 g/day,18,18,g,high,mass,,,1,day,,,,,
3960,15-20 g/day,15,20,g,high,mass,,,1,day,,,,,
4097,4-20 g/day,4,20,g,high,mass,,,1,day,,,,,
35908,"10-20 g/day, may be increased to 40 g/day",10,20,g,high,mass,,,1,day,,,,,
1789,20 g/day,20,20,g,high,mass,,,1,day,,,,,
4093,20 g/day,20,20,g,high,mass,,,1,day,,,,,
16412,15-30 g/day,15,30,g,high,mass,,,1,day,,,,,
54101,5-30 g/day,5,30,g,high,mass,,,1,day,,,,,
54102,9-30 g/day,9,30,g,high,mass,,,1,day,,,,,
30038,10-30 g/day,10,30,g,high,mass,,,1,day,,,,,
7068,30 g/day,30,30,g,high,mass,,,1,day,,,,,
30045,30 g/day,30,30,g,high,mass,,,1,day,,,,,
47056,"30 g/day, administered in 1-3 equally divided doses",30,30,g,high,mass,,,1,day,,,,,
17381,24-32 gm/day,24,32,g,high,mass,,,1,day,,,,,
49409,17-34 g/day,17,34,g,high,mass,,,1,day,,,,,
49425,6-34 g/day,6,34,g,high,mass,,,1,day,,,,,
49416,34 g/day,34,34,g,high,mass,,,1,day,,,,,
16414,40 g/day,40,40,g,high,mass,,,1,day,,,,,
35910,50 g/day,50,50,g,high,mass,,,1,day,,,,,
54029,15-60 g/day,15,60,g,high,mass,,,1,day,,,,,
47051,3-60 g/day,3,60,g,high,mass,,,1,day,,,,,
47052,"3-60 g/day, administered in 3 equally divided doses",3,60,g,high,mass,,,1,day,,,,,
7931,60 g/day,60,60,g,high,mass,,,1,day,,,,,
1787,12-100 g/day,12,100,g,high,mass,,,1,day,,,,,
59062,108 g/day,108,108,g,high,mass,,,1,day,,,,,
35911,60-120 g/day,60,120,g,high,mass,,,1,day,,,,,
3955,80-120 g/day,80,120,g,high,mass,,,1,day,,,,,
919,750 g/day,750,750,g,high,mass,,,1,day,,,,,
19928,0.02 g/twice a day,0.02,0.02,g,high,mass,,,2,day,,,,,
56267,0.1 g/1-2 times a day,0.1,0.1,g,high,mass,,,2,day,,,,,
32088,0.25-2 g/twice daily,0.25,0.25,g,high,mass,,,2,day,,,,,
12640,0.5-2 g/2 times a day,0.5,0.5,g,high,mass,,,2,day,,,,,
12643,0.5-2 g/twice a day,0.5,0.5,g,high,mass,,,2,day,,,,,
12644,0.5-2 g/twice a day,0.5,0.5,g,high,mass,,,2,day,,,,,
12645,0.5-2g/twice a day,0.5,0.5,g,high,mass,,,2,day,,,,,
19940,0.5 g/twice a day,0.5,0.5,g,high,mass,,,2,day,,,,,
54840,0.5 gm/2 times a day,0.5,0.5,g,high,mass,,,2,day,,,,,
47023,"0.6-1.95 ,g/twice a day",0.6,0.6,g,low,mass,,,2,day,,,,,
54804,0.65-1.95 g/twice a day,0.65,0.65,g,high,mass,,,2,day,,,,,
10735,0.83 g/twice a day,0.83,0.83,g,high,mass,,,2,day,,,,,
42303,1-1.5 g/twice a day,1,1,g,high,mass,,,2,day,,,,,
42304,1-1.5 g/twice a day,1,1,g,high,mass,,,2,day,,,,,
12648,1 g/twice a day,1,1,g,high,mass,,,2,day,,,,,
12649,1 g/twice a day,1,1,g,high,mass,,,2,day,,,,,
42302,1 g/twice a day,1,1,g,high,mass,,,2,day,,,,,
32092,1 g/twice daily,1,1,g,high,mass,,,2,day,,,,,
12650,1-2 g/twice a day,1,2,g,high,mass,,,2,day,,,,,
12651,1-2 g/twice a day,1,2,g,high,mass,,,2,day,,,,,
32093,1-2 g/twice daily,1,2,g,high,mass,,,2,day,,,,,
12666,2 g/twice a day,2,2,g,high,mass,,,2,day,,,,,
32099,2 g/twice a day,2,2,g,high,mass,,,2,day,,,,,
32100,2 g/twice daily,2,2,g,high,mass,,,2,day,,,,,
53987,"2.25-4.5 g/twice daily, at bedtime and 2.5-4 hours later",2.25,2.25,g,high,mass,,,2,day,,,,,
53990,"3 g/twice a day, at bedtime and 4 hours later",3,3,g,high,mass,,,2,day,,,,,
54000,"4.5 g/twice daily, at bedtime and 2.5-4 hours later",4.5,4.5,g,high,mass,,,2,day,,,,,
47062,8.4 g/twice daily,8.4,8.4,g,high,mass,,,2,day,,,,,
57556,5-10 g/twice a day,5,10,g,high,mass,,,2,day,,,,,
47046,12.6 g/twice daily,12.6,12.6,g,high,mass,,,2,day,,,,,
27487,13 g/twice a day,13,13,g,high,mass,,,2,day,,,,,
2055,"1.0 g, pups, at postnatal day 7, twice, 2 h apart",1,1,g,high,mass,,,2,day,,,,,
53204,0.4-1.6 g/3 times a day,0.4,0.4,g,high,mass,,,3,day,,,,,
7077,0.5-2 g/2-3 times a day,0.5,0.5,g,high,mass,,,3,day,,,,,
12641,0.5-2 g/2-3 times a day,0.5,0.5,g,high,mass,,,3,day,,,,,
48440,0.5-1 g/2-3 times a day,0.5,0.5,g,high,mass,,,3,day,,,,,
54820,0.5 g/3 times a day,0.5,0.5,g,high,mass,,,3,day,,,,,
39402,0.5 g tid,0.5,0.5,g,high,mass,,,3,day,,,,,
53205,0.8-1.6 g/3 times a day,0.8,0.8,g,high,mass,,,3,day,,,,,
53213,0.93-1.86 g/three times a day,0.93,0.93,g,high,mass,,,3,day,,,,,
59016,1 gm/3 times a day,1,1,g,high,mass,,,3,day,,,,,
12608,1 g tid/2W,1,1,g,high,mass,,,3,day,,,,,
54059,1.25 g/3 times a day,1.25,1.25,g,high,mass,,,3,day,,,,,
52921,1.5 g tid/2W,1.5,1.5,g,high,mass,,,3,day,,,,,
12848,1-2 g/2-3 times a day,1,2,g,high,mass,,,3,day,,,,,
12849,1-2 g/2-3 times a day,1,2,g,high,mass,,,3,day,,,,,
12850,1-2 g/2-3 times a day,1,2,g,high,mass,,,3,day,,,,,
12662,2 g/2-3 times a day,2,2,g,high,mass,,,3,day,,,,,
12663,2 g/3 times a day,2,2,g,high,mass,,,3,day,,,,,
13101,2 g/2-3 times a day,2,2,g,high,mass,,,3,day,,,,,
54599,2.1 g/3 times a day,2.1,2.1,g,high,mass,,,3,day,,,,,
7235,2.25 g/3 times a day,2.25,2.25,g,high,mass,,,3,day,,,,,
34987,3.6 g tid/12W,3.6,3.6,g,high,mass,,,3,day,,,,,
4096,4 g TID,4,4,g,high,mass,,,3,day,,,,,
53215,1-5 g/three times a day,1,5,g,high,mass,,,3,day,,,,,
54095,5 g/ three times a day,5,5,g,high,mass,,,3,day,,,,,
54096,5 g/3 times a day,5,5,g,high,mass,,,3,day,,,,,
54094,5 g three times a day,5,5,g,high,mass,,,3,day,,,,,
54098,5-10 g three times a day,5,10,g,high,mass,,,3,day,,,,,
54077,10 g/ three times a day,10,10,g,high,mass,,,3,day,,,,,
54078,10 g/3 times a day,10,10,g,high,mass,,,3,day,,,,,
54061,10 g three times a day,10,10,g,high,mass,,,3,day,,,,,
